课次,阶段,模块,模块总学时,课程主题,核心知识与方法,教学重点 / 易错点,课堂实践（Notebook）,推荐数据集 / 比赛,工具 / 库,课后产出,验收标准,学时,累计学时,难度,前置知识,参考链接
11,B 机器学习核心,树模型,16,决策树、非线性规则与过拟合,递归划分；Gini/Entropy；最大深度、最小叶节点与剪枝；连续/类别特征处理直觉；规则可视化；不纯度重要性与 permutation importance,深树容易记忆训练集；特征重要性不等于因果；高基数和连续特征可能获得偏高的重要性,训练不同深度的树；绘制训练/验证曲线和树结构；提取可读规则；比较两种特征重要性,Titanic；Adult Census Income,scikit-learn、Matplotlib,树深度实验；5 条模型规则；重要性对比图,能指出过拟合拐点；规则与预测一致；不把模型重要性解释为因果关系,2,22,基础,分类指标,https://scikit-learn.org/stable/modules/tree.html
12,B 机器学习核心,集成学习 I,16,Bagging、随机森林与 Extra Trees,Bootstrap；随机特征子集；方差降低；OOB 直觉；随机森林与 Extra Trees 的差异；模型稳定性；并行训练；模型多样性,集成能降低方差但不能修复泄漏；不要只比较单次划分；注意树数量、深度、内存和推理成本,比较单树、随机森林和 Extra Trees；观察 CV 均值/方差与训练时间；分析错误重叠；计算 permutation importance,Adult Census Income；Titanic 扩展特征,scikit-learn,集成对比表；稳定性分析；重要性图,随机森林结果更稳定；记录关键参数；能解释 Bagging 降低方差的原因,2,24,基础,决策树,https://scikit-learn.org/stable/modules/ensemble.html
13,B 机器学习核心,集成学习 II,16,Gradient Boosting、XGBoost、LightGBM 与 CatBoost,逐步拟合残差；学习率与树数量；深度/叶节点；行列采样；正则化；类别特征和缺失值处理；Early Stopping；GPU/CPU 训练差异,先建立可靠验证和早停，再调参；Boosting 很强但会放大错误验证；不同库不能只靠默认分数判断优劣,在同一表格数据比较 XGBoost、LightGBM 和 CatBoost；使用早停；记录分数、速度、内存、最佳轮数和重要性,House Prices；Adult Census；Kaggle Playground 风格表格数据,XGBoost、LightGBM、CatBoost,Boosting 选型报告；可复现参数配置；训练曲线,验证无泄漏；早停生效；能综合数据类型、效果与资源选择模型,2,26,进阶,树模型、交叉验证,https://xgboost.readthedocs.io/ | https://lightgbm.readthedocs.io/ | https://catboost.ai/en/docs/
14,B 机器学习核心,端到端表格建模,16,特征工程、Pipeline、交叉验证、调参与解释,数值/类别预处理；缺失填补、编码与缩放；ColumnTransformer；Pipeline；K-Fold/StratifiedKFold；小范围随机搜索与 Optuna 思路；学习曲线；残差/分组误差；SHAP 与 permutation importance 的边界,所有拟合型预处理放进 Pipeline；高价值特征优先于盲目搜索；解释方法描述模型行为，不自动代表因果,建立原始 DataFrame 到预测的一步式 Pipeline；完成 CV 和小型参数搜索；制作消融表；按群体分析误差；输出特征贡献图,House Prices；Titanic,pandas、scikit-learn、Optuna（演示）、SHAP（演示）,可复用 Tabular Baseline 模板；实验日志；误差分析报告,Pipeline 可从原始数据直接预测；CV 均值/方差完整；不存在预处理泄漏；改进有消融证据,2,28,进阶,第 7—13 节,https://scikit-learn.org/stable/modules/compose.html | https://optuna.readthedocs.io/
15,C 深度学习、CV 与 NLP,神经网络原理,14,MLP、损失函数与反向传播,感知机和全连接层；权重、偏置与激活；ReLU、Sigmoid、Softmax；前向传播；链式法则与反向传播；初始化；Batch、Epoch；Dropout、Weight Decay 与 BatchNorm 直觉,区分参数、梯度和激活值；追踪维度比背公式更重要；了解梯度消失/爆炸和过拟合信号,用 NumPy 实现两层网络前向传播；在小网络上做数值梯度检查；比较不同激活函数和初始化；训练 XOR/two moons,XOR；two moons；MNIST 小样本,NumPy、Matplotlib,网络结构图；逐层 shape 表；梯度检查结果,每层形状正确；数值梯度与解析/自动梯度接近；能解释激活和初始化选择,2,30,进阶,线性模型、梯度下降,https://pytorch.org/tutorials/beginner/basics/buildmodel_tutorial.html
16,C 深度学习、CV 与 NLP,PyTorch 训练工程,14,Tensor、Dataset、DataLoader 与完整训练闭环,Tensor 与 device；Dataset/DataLoader；nn.Module；forward；loss、backward、optimizer；train/eval；no_grad/inference_mode；checkpoint；学习率调度；AMP；随机种子与复现,每轮清梯度；训练和验证模式正确切换；验证阶段不计算梯度；保存最佳权重而不是最后权重；理解 AMP 和 device 报错,不依赖高层 Trainer 编写完整训练循环；记录 loss/accuracy；保存与加载最佳模型；加入 Early Stopping 和混合精度,Fashion-MNIST,PyTorch、torchvision、Matplotlib,可复现训练 Notebook；最佳模型权重；训练曲线,训练/验证流程分离；最佳模型可重新加载；随机种子、设备和配置有记录,2,32,进阶,神经网络原理、NumPy,https://pytorch.org/tutorials/beginner/basics/intro.html | https://docs.pytorch.org/docs/stable/amp.html
17,C 深度学习、CV 与 NLP,计算机视觉 I,14,CNN、图像分类与数据增强,卷积核、通道、Stride、Padding；特征图和感受野；池化；BatchNorm、Dropout；图像归一化；随机裁剪、翻转与颜色增强；混淆矩阵和错误图像分析,会计算输出尺寸和参数量；防止背景捷径和数据重复泄漏；增强只用于训练集；注意类别不平衡,从零构建小型 CNN；显示中间特征图；比较无增强/有增强；绘制混淆矩阵和错误样本画廊,Fashion-MNIST；CIFAR-10 子集,PyTorch、torchvision、Matplotlib,CNN 结构说明；增强消融表；错误样本画廊,输出 shape 无误；优于 MLP 基线；能归纳至少 3 类视觉错误,2,34,进阶,PyTorch 训练闭环,https://pytorch.org/tutorials/beginner/blitz/cifar10_tutorial.html
18,C 深度学习、CV 与 NLP,计算机视觉 II,14,迁移学习、现代视觉骨干与 ViT 概览,预训练特征；冻结与解冻；差异学习率；输入规范；ResNet/EfficientNet/ConvNeXt；Patch、Token 与 ViT 直觉；Grad-CAM；小数据微调策略,预训练模型的归一化和尺寸不可忽略；小数据先冻结再逐步解冻；公平比较训练轮数、增强和参数量,加载预训练 ResNet 或 ConvNeXt；比较线性探针、部分解冻和完整微调；展示 Grad-CAM；用同一数据演示 ViT 推理,Oxford-IIIT Pet；Pokemon 小型分类集,PyTorch、torchvision、timm,冻结/解冻对比实验；推理接口；模型选择说明,最佳权重可复现；比较条件公平；能说明 CNN 与 ViT 的主要差异和适用条件,2,36,进阶,CNN,https://pytorch.org/tutorials/beginner/transfer_learning_tutorial.html | https://huggingface.co/docs/transformers/tasks/image_classification
19,C 深度学习、CV 与 NLP,计算机视觉 III,14,目标检测与图像分割任务地图,分类、检测、语义/实例分割差异；Bounding Box、IoU、NMS、mAP；YOLO/Faster R-CNN 基本结构；Encoder-Decoder、Skip Connection、U-Net；Mask、Dice 与 IoU；标注格式,先判断任务输出形式；检测和分割的验证单位不同；坐标格式、缩放和 Mask 对齐是常见错误；不要用 Accuracy 评价稀疏分割,可视化框和 Mask；调用预训练 YOLO 完成推理；训练/复现一个迷你 U-Net；计算 IoU、Dice 和简单 mAP 示例,Global Wheat Detection 子集；Crack Segmentation；Oxford-IIIT Pet Trimaps,PyTorch、torchvision、Ultralytics、segmentation_models_pytorch（演示）,任务对照表；检测/分割可视化；指标计算 Notebook,标注和预测坐标对齐；指标实现正确；能根据问题选择分类、检测或分割,2,38,进阶,CNN、迁移学习,https://docs.ultralytics.com/ | https://pytorch.org/vision/stable/models.html
20,C 深度学习、CV 与 NLP,自然语言处理 I,14,文本表示、TF-IDF 与强基线,文本清洗边界；Token、词表、n-gram；Bag-of-Words、TF-IDF；稀疏矩阵；词向量直觉；文本分类指标；关键词和错误分析,不要过度清洗导致否定、标点或实体信息丢失；复杂模型前必须建立 TF-IDF 线性基线；词表只能在训练折拟合,构建 TF-IDF + Logistic Regression；比较 unigram/bigram 和字符 n-gram；查看高权重词；分析误判文本,NLP with Disaster Tweets；IMDb 子集,pandas、scikit-learn,文本基线；关键词解释；错误类别总结,无词表泄漏；指标匹配任务；能解释至少 10 个错误样本；基线可作为后续深度模型对照,2,40,进阶,逻辑回归、Pipeline,https://scikit-learn.org/stable/tutorial/text_analytics/working_with_text_data.html
21,C 深度学习、CV 与 NLP,自然语言处理 II,14,RNN、LSTM、双向结构与 Attention 动机,序列建模；隐藏状态；BPTT；梯度消失；LSTM 门控；双向 RNN；Embedding；padding、packing 与 mask；Seq2Seq 固定向量瓶颈；Attention 的提出动机,RNN/LSTM 作为序列建模桥梁，不作为现代 NLP 终点；变长序列必须正确 mask；注意训练成本和长依赖限制,训练小型 BiLSTM 文本分类器；比较 TF-IDF 与 BiLSTM；可视化序列长度和 padding；分析两类模型的不同错误,IMDb 子集；AG News 子集,PyTorch,BiLSTM 模型；基线对比表；错误分析,padding/mask 正确；比较训练成本与效果；能解释 LSTM 相对普通 RNN 的改进和仍存限制,2,42,进阶,PyTorch、NLP 基线,https://pytorch.org/tutorials/beginner/nlp/sequence_models_tutorial.html
22,D Transformer 与现代大模型,Attention 与 Transformer,8,QKV、自注意力、多头机制与 Transformer Block,Query、Key、Value；缩放点积注意力；Self-Attention 与 Cross-Attention；Multi-Head；padding mask 与 causal mask；位置编码；残差、LayerNorm、FFN；Encoder/Decoder Block,持续追踪 batch、head、sequence 和 hidden dimension；区分两类 mask；理解注意力权重是信息混合系数而不是天然解释,用 PyTorch 从零实现 scaled dot-product attention；与框架函数对照；可视化注意力矩阵；追踪一个 Transformer Block 的逐层 shape,合成序列；AG News 小样本,PyTorch、Matplotlib,注意力实现；shape 表；mask 测试；注意力图,数值与框架实现接近；mask 正确；能解释多头、位置编码和残差连接作用,2,44,进阶,神经网络、RNN/LSTM,https://arxiv.org/abs/1706.03762 | https://pytorch.org/docs/stable/generated/torch.nn.MultiheadAttention.html
23,D Transformer 与现代大模型,预训练 Transformer,8,BERT、GPT、Encoder-Decoder 与 Hugging Face 工作流,Encoder-only、Decoder-only、Encoder-Decoder；Masked LM、Causal LM 与 Seq2Seq；Tokenizer、Subword、Embedding、Attention Mask；上下文窗口；生成的 temperature、top-k、top-p；预训练到下游迁移,模型架构要匹配任务；Tokenizer 和 Chat Template 属于模型接口的一部分；生成质量不能只展示最佳样例,调用小型 Encoder 完成分类/向量提取；调用小型 Decoder 生成文本；比较采样参数；可选完成 Trainer 与手写训练循环的接口对照,AG News；课程短文本；0.5B—1.5B 小型开源模型,Hugging Face Transformers、Datasets、Tokenizers,架构对照表；可复现推理 Notebook；采样实验,能说明 BERT/GPT/Encoder-Decoder 差异；tokenization 和 mask 正确；记录模型版本与生成参数,2,46,进阶,Attention 与 Transformer,https://huggingface.co/docs/transformers/ | https://huggingface.co/learn/nlp-course/
24,D Transformer 与现代大模型,大模型训练与微调,8,预训练、SFT、LoRA/QLoRA、量化与评估,语料收集、去重和质量过滤；Tokenizer 与 next-token prediction；训练规模与显存估算；继续预训练、SFT 和偏好优化区别；LoRA、QLoRA、4/8-bit 量化；Chat Template；离线、自动和人工评估,先判断是否需要微调；数据质量与格式比盲目增加样本更重要；量化降低显存但不等于零成本；训练集、验证集和评测集必须隔离,估算模型/优化器/激活显存；整理一份小型指令数据；对 0.5B—1.5B 模型完成 LoRA 或 QLoRA 迷你实验；比较基础模型与微调模型,TinyStories；小型 Alpaca/课程问答数据；教师自建指令集,Transformers、Datasets、PEFT、TRL、bitsandbytes（可选）,训练配置；显存预算表；学习曲线；基础/微调样例对照；模型卡,能区分预训练、继续预训练、SFT 与偏好优化；训练可复现；评测包含正常、边界和失败样例,2,48,进阶,预训练 Transformer、PyTorch,https://huggingface.co/docs/peft/ | https://huggingface.co/docs/trl/ | https://arxiv.org/abs/2106.09685 | https://arxiv.org/abs/2305.14314
25,D Transformer 与现代大模型,LLM 应用与结业项目,8,RAG、工具调用、Agent、评估、安全与部署闭环,Embedding、Chunking、向量检索与重排序；RAG 与微调的分工；函数/工具调用；Agent 循环和状态；结构化输出；幻觉、Prompt Injection、权限边界；延迟、吞吐、量化部署；多模态/VLM 应用概览,RAG 解决知识接入，微调主要改变行为和任务能力；工具必须最小权限；应用必须提供来源、失败处理和可观察日志；不要只做能演示的 happy path,三选一：课程资料 RAG；带计算/搜索工具的助手；小模型 LoRA 应用；建立 20—30 条评测集，比较基础系统与改进系统，并制作 Gradio 演示,课程文档；公开小型知识库；0.5B—1.5B Instruct 模型,sentence-transformers、FAISS/Chroma、Transformers、PEFT、Gradio,结业项目 Notebook；演示页面；系统卡；评测表；失败案例与风险说明,完成端到端路径；结果可复现；回答有来源或明确拒答；包含安全测试、失败分析和下一步优化,2,50,进阶,前 24 节,https://huggingface.co/docs/transformers/ | https://www.gradio.app/docs | https://faiss.ai/
